variable,VIF,Tolerance
1_outflow_accumulated_hour0,1983.865617026172,0.0005040664001723094
1_outflow_max_hour0,2135.2988438951065,0.0004683185226550535
2_change_cv,1.0509795652479457,0.9514932859461271
2_change_iqr,4.658984196051246,0.21463906249082298
2_change_max,inf,
2_change_mean,29.620745820464712,0.03376012224881619
2_change_min,inf,
2_change_range,inf,
2_change_std,28906.184291161662,3.459467323418952e-05
2_displaced_excess_max,194.8254548766714,0.005132799513456909
2_n_crisis_rows,3.1632607898071043,0.3161294836082674
2_outflow_max,276.65615662046565,0.003614595142995003
3_estimated_excess_displacement_pop,20.497934207360178,0.048785403928212956
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,191.38022849907082,0.0052252001569997875
3_estimated_outflow_pop_from_1_outflow_max_hour0,203.86733635653803,0.004905150662542268
3_estimated_outflow_pop_from_2_outflow_max,21.768037619473816,0.04593891362560831
3_fb_baseline_median,29.534095127682797,0.03385917177000908
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,inf,
3_pct_outflow_fb_from_1_outflow_max_hour0,inf,
3_pct_outflow_fb_from_2_outflow_max,inf,
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,inf,
3_pct_outflow_worldpop_from_1_outflow_max_hour0,inf,
3_pct_outflow_worldpop_from_2_outflow_max,inf,
3_worldpop,12.917618108703728,0.07741365254684318
4_flood_max,2.40036957544675,0.4166025141415496
4_flood_mean,4.960093796231779,0.20160909069092758
4_flood_p95,6.459096675445374,0.1548204106932719
4_svi_count,2.986203980863689,0.33487330618010014
4_waste_count,13.323080441927967,0.07505771689653562
4_waste_per_population,1.4553252528284897,0.6871316209599574
4_waste_per_svi_count,9.861607995018058,0.10140334116963334
