model,variable,coefficient,std_err,z_stat,p_value
OLS,const,128.59712873767978,952.4722831785383,,0.8926007754878856
OLS,4_flood_max,307.87903348078953,270.518105884148,,0.2550750592230099
OLS,4_waste_count,211.5184914754276,30.575433730481677,,4.58313773617602e-12
SLM,const,-686.9573462389557,717.9294945428725,-0.95685906688701,0.3386383940970181
SLM,4_flood_max,254.3330636036755,159.64994490333729,0.33863839409701824,0.7348821554423186
SLM,4_waste_count,158.0637835862374,14.908716964169825,1.593067030230832,0.11114515463778107
SLM,rho,0.39869139885783794,0.06894706044349089,0.11114515463778117,0.9115012423113038
SEM,const,506.1959878075678,1022.2910556705422,0.49515838468873546,0.6204883236175109
SEM,4_flood_max,290.4621272171421,185.73568232928463,0.6204883236175109,0.5349363390089883
SEM,4_waste_count,188.8382966769357,15.103591751802464,1.5638466641115918,0.11785358255138068
SEM,lambda,0.4557767722446412,0.08396037313735677,0.11785358255138068,0.906183672601204
